X,Y,id,x,y,z,dip_dir,dip_ang
-1628.162195,-288881.972,2,-1628.162195,-288881.972,-3819.245216,294.1245494,4.251100985
-1627.931823,-288880.8585,2,-1627.931823,-288880.8585,-3819.294921,294.1245494,4.251100985
-1627.816637,-288879.9754,2,-1627.816637,-288879.9754,-3819.368595,294.1245494,4.251100985
-1627.778242,-288878.9771,2,-1627.778242,-288878.9771,-3819.480108,294.1245494,4.251100985
-1627.125522,-288875.6367,2,-1627.125522,-288875.6367,-3819.207099,294.1245494,4.251100985
-1626.357617,-288872.8339,2,-1626.357617,-288872.8339,-3819.458337,294.1245494,4.251100985
-1626.050454,-288871.49,2,-1626.050454,-288871.49,-3819.482864,294.1245494,4.251100985
-1626.050454,-288869.9158,2,-1626.050454,-288869.9158,-3819.600018,294.1245494,4.251100985
-1625.666502,-288868.956,2,-1625.666502,-288868.956,-3819.332665,294.1245494,4.251100985
-1625.359339,-288868.3032,2,-1625.359339,-288868.3032,-3819.126298,294.1245494,4.251100985
-1625.282549,-288867.5737,2,-1625.282549,-288867.5737,-3819.209154,294.1245494,4.251100985
-1625.167363,-288866.7674,2,-1625.167363,-288866.7674,-3819.276033,294.1245494,4.251100985
-1625.205758,-288865.7308,2,-1625.205758,-288865.7308,-3819.433836,294.1245494,4.251100985
-1624.706619,-288865.1548,2,-1624.706619,-288865.1548,-3819.32725,294.1245494,4.251100985
-1624.322667,-288864.3485,2,-1624.322667,-288864.3485,-3819.292722,294.1245494,4.251100985
-1624.207481,-288863.3119,2,-1624.207481,-288863.3119,-3819.421889,294.1245494,4.251100985
-1623.785133,-288862.0448,2,-1623.785133,-288862.0448,-3819.476865,294.1245494,4.251100985
-1622.786855,-288860.0483,2,-1622.786855,-288860.0483,-3819.360186,294.1245494,4.251100985
-1622.479693,-288859.05,2,-1622.479693,-288859.05,-3819.371536,294.1245494,4.251100985
-1622.210926,-288858.1669,2,-1622.210926,-288858.1669,-3819.386435,294.1245494,4.251100985
-1621.289439,-288856.7079,2,-1621.289439,-288856.7079,-3819.229157,294.1245494,4.251100985
-1620.521534,-288854.9417,2,-1620.521534,-288854.9417,-3819.178907,294.1245494,4.251100985
-1619.984,-288852.638,2,-1619.984,-288852.638,-3819.307669,294.1245494,4.251100985
-1619.292884,-288850.1039,2,-1619.292884,-288850.1039,-3819.329547,294.1245494,4.251100985
-1617.680283,-288843.9606,2,-1617.680283,-288843.9606,-3819.28814,294.1245494,4.251100985
-1616.989167,-288841.4265,2,-1616.989167,-288841.4265,-3819.281192,294.1245494,4.251100985
-1616.528424,-288839.7371,2,-1616.528424,-288839.7371,-3819.299189,294.1245494,4.251100985
-1615.760518,-288836.8959,2,-1615.760518,-288836.8959,-3819.399962,294.1245494,4.251100985
-1615.222984,-288834.3618,2,-1615.222984,-288834.3618,-3819.47021,294.1245494,4.251100985
-1614.915822,-288832.9796,2,-1614.915822,-288832.9796,-3819.503056,294.1245494,4.251100985
-1613.994335,-288831.0598,2,-1613.994335,-288831.0598,-3819.3104,294.1245494,4.251100985
-1613.22643,-288829.2168,2,-1613.22643,-288829.2168,-3819.20542,294.1245494,4.251100985
-1612.304943,-288827.5274,2,-1612.304943,-288827.5274,-3819.063559,294.1245494,4.251100985
-1611.537037,-288825.6845,2,-1611.537037,-288825.6845,-3818.918679,294.1245494,4.251100985
-1610.308388,-288820.7699,2,-1610.308388,-288820.7699,-3819.244521,294.1245494,4.251100985
-1609.617273,-288818.3894,2,-1609.617273,-288818.3894,-3819.445329,294.1245494,4.251100985
-1608.772577,-288816.6232,2,-1608.772577,-288816.6232,-3819.41584,294.1245494,4.251100985
-1608.004671,-288814.7034,2,-1608.004671,-288814.7034,-3819.445822,294.1245494,4.251100985
-1607.083184,-288812.3229,2,-1607.083184,-288812.3229,-3819.49181,294.1245494,4.251100985
-1606.54565,-288810.096,2,-1606.54565,-288810.096,-3819.681449,294.1245494,4.251100985
-1605.700954,-288808.0994,2,-1605.700954,-288808.0994,-3819.680311,294.1245494,4.251100985
-1604.702677,-288806.4868,2,-1604.702677,-288806.4868,-3819.585374,294.1245494,4.251100985
-1604.165143,-288804.3367,2,-1604.165143,-288804.3367,-3819.716071,294.1245494,4.251100985
-1603.627609,-288803.3384,2,-1603.627609,-288803.3384,-3819.653271,294.1245494,4.251100985
-1602.706122,-288801.3419,2,-1602.706122,-288801.3419,-3819.559143,294.1245494,4.251100985
-1601.938216,-288799.2685,2,-1601.938216,-288799.2685,-3819.494292,294.1245494,4.251100985
-1601.631054,-288797.4255,2,-1601.631054,-288797.4255,-3819.639854,294.1245494,4.251100985
-1600.939939,-288796.0433,2,-1600.939939,-288796.0433,-3819.578856,294.1245494,4.251100985
-1600.056847,-288792.9333,2,-1600.056847,-288792.9333,-3819.553249,294.1245494,4.251100985
-1599.749685,-288791.4743,2,-1599.749685,-288791.4743,-3819.565751,294.1245494,4.251100985
-1599.05857,-288789.5161,2,-1599.05857,-288789.5161,-3819.437707,294.1245494,4.251100985
-1598.32906,-288787.366,2,-1598.32906,-288787.366,-3819.370319,294.1245494,4.251100985
-1597.67634,-288785.331,2,-1597.67634,-288785.331,-3819.408694,294.1245494,4.251100985
-1596.908434,-288783.9104,2,-1596.908434,-288783.9104,-3819.395036,294.1245494,4.251100985
-1596.678062,-288782.605,2,-1596.678062,-288782.605,-3819.62772,294.1245494,4.251100985
-1591.609885,-288773.0061,2,-1591.609885,-288773.0061,-3819.490585,294.1245494,4.251100985
-1590.841979,-288770.856,2,-1590.841979,-288770.856,-3819.603556,294.1245494,4.251100985
-1590.074074,-288769.3202,2,-1590.074074,-288769.3202,-3819.587653,294.1245494,4.251100985
-1588.15431,-288765.4039,2,-1588.15431,-288765.4039,-3819.532314,294.1245494,4.251100985
-1587.463194,-288763.5609,2,-1587.463194,-288763.5609,-3819.572443,294.1245494,4.251100985
-1586.541708,-288761.9483,2,-1586.541708,-288761.9483,-3819.4529,294.1245494,4.251100985
-1575.637447,-288747.5885,2,-1575.637447,-288747.5885,-3819.414945,294.1245494,4.251100985
-1574.485589,-288745.9759,2,-1574.485589,-288745.9759,-3819.45546,294.1245494,4.251100985
-1573.487311,-288744.1329,2,-1573.487311,-288744.1329,-3819.629944,294.1245494,4.251100985
-1572.642615,-288742.7507,2,-1572.642615,-288742.7507,-3819.665809,294.1245494,4.251100985
-1571.183594,-288740.7541,2,-1571.183594,-288740.7541,-3819.373089,294.1245494,4.251100985
-1569.878155,-288738.6808,2,-1569.878155,-288738.6808,-3819.352417,294.1245494,4.251100985
-1568.879877,-288737.1449,2,-1568.879877,-288737.1449,-3819.386052,294.1245494,4.251100985
-1568.035181,-288735.302,2,-1568.035181,-288735.302,-3819.484555,294.1245494,4.251100985
-1554.059298,-288718.0625,2,-1554.059298,-288718.0625,-3818.880957,294.1245494,4.251100985
-1553.560159,-288716.9874,2,-1553.560159,-288716.9874,-3818.905371,294.1245494,4.251100985
-1552.830649,-288715.9508,2,-1552.830649,-288715.9508,-3818.879708,294.1245494,4.251100985
-1552.101138,-288714.9909,2,-1552.101138,-288714.9909,-3818.909172,294.1245494,4.251100985
-1551.448418,-288714.1462,2,-1551.448418,-288714.1462,-3818.932117,294.1245494,4.251100985
-1550.603722,-288713.2631,2,-1550.603722,-288713.2631,-3818.874423,294.1245494,4.251100985
-1550.104583,-288712.5336,2,-1550.104583,-288712.5336,-3818.896256,294.1245494,4.251100985
-1539.238718,-288699.4792,2,-1539.238718,-288699.4792,-3818.682244,294.1245494,4.251100985
-1538.08686,-288698.4809,2,-1538.08686,-288698.4809,-3818.471586,294.1245494,4.251100985
-1536.167096,-288696.1772,2,-1536.167096,-288696.1772,-3818.506504,294.1245494,4.251100985
-1534.938446,-288694.4878,2,-1534.938446,-288694.4878,-3818.66727,294.1245494,4.251100985
-1533.863379,-288692.7984,2,-1533.863379,-288692.7984,-3818.912432,294.1245494,4.251100985
-1532.941892,-288691.1858,2,-1532.941892,-288691.1858,-3818.880143,294.1245494,4.251100985
-1532.020405,-288689.3428,2,-1532.020405,-288689.3428,-3819.014959,294.1245494,4.251100985
-1530.791756,-288687.1159,2,-1530.791756,-288687.1159,-3819.143462,294.1245494,4.251100985
-1529.102363,-288684.8122,2,-1529.102363,-288684.8122,-3818.916226,294.1245494,4.251100985
-1528.027295,-288682.5085,2,-1528.027295,-288682.5085,-3818.890031,294.1245494,4.251100985
-1526.491484,-288680.0512,2,-1526.491484,-288680.0512,-3818.66225,294.1245494,4.251100985
-1524.57172,-288676.7492,2,-1524.57172,-288676.7492,-3818.447489,294.1245494,4.251100985
-1523.957395,-288674.4455,2,-1523.957395,-288674.4455,-3818.806199,294.1245494,4.251100985
-1523.419861,-288672.3721,2,-1523.419861,-288672.3721,-3819.274436,294.1245494,4.251100985
-1521.88405,-288670.5291,2,-1521.88405,-288670.5291,-3819.071447,294.1245494,4.251100985
-1521.116144,-288669.4541,2,-1521.116144,-288669.4541,-3819.027072,294.1245494,4.251100985
-1518.966009,-288666.7664,2,-1518.966009,-288666.7664,-3818.793778,294.1245494,4.251100985
-1516.278339,-288663.9251,2,-1516.278339,-288663.9251,-3818.498413,294.1245494,4.251100985
-1514.742527,-288661.6982,2,-1514.742527,-288661.6982,-3818.48137,294.1245494,4.251100985
-1513.283507,-288658.6266,2,-1513.283507,-288658.6266,-3818.944523,294.1245494,4.251100985
-1512.131648,-288656.7836,2,-1512.131648,-288656.7836,-3818.901432,294.1245494,4.251100985
-1510.97979,-288654.9406,2,-1510.97979,-288654.9406,-3818.973519,294.1245494,4.251100985
-1509.443978,-288652.253,2,-1509.443978,-288652.253,-3819.110719,294.1245494,4.251100985
-1508.061748,-288649.7189,2,-1508.061748,-288649.7189,-3819.118914,294.1245494,4.251100985
-1506.679518,-288647.7223,2,-1506.679518,-288647.7223,-3818.95925,294.1245494,4.251100985
-1506.065193,-288645.4954,2,-1506.065193,-288645.4954,-3819.252424,294.1245494,4.251100985
-1504.606172,-288643.4989,2,-1504.606172,-288643.4989,-3819.000249,294.1245494,4.251100985
-1503.915057,-288642.1166,2,-1503.915057,-288642.1166,-3819.063016,294.1245494,4.251100985
-1502.91678,-288640.2736,2,-1502.91678,-288640.2736,-3819.087542,294.1245494,4.251100985
-1501.764921,-288637.9699,2,-1501.764921,-288637.9699,-3819.075769,294.1245494,4.251100985
-1500.536272,-288635.9734,2,-1500.536272,-288635.9734,-3818.981024,294.1245494,4.251100985
-1499.307623,-288634.4376,2,-1499.307623,-288634.4376,-3818.829837,294.1245494,4.251100985
-1498.232555,-288632.2106,2,-1498.232555,-288632.2106,-3818.876226,294.1245494,4.251100985
-1497.003906,-288629.8301,2,-1497.003906,-288629.8301,-3818.793111,294.1245494,4.251100985
-1495.698467,-288628.4479,2,-1495.698467,-288628.4479,-3818.446799,294.1245494,4.251100985
-1494.546608,-288626.7585,2,-1494.546608,-288626.7585,-3818.266218,294.1245494,4.251100985
-1493.317959,-288624.9155,2,-1493.317959,-288624.9155,-3818.070649,294.1245494,4.251100985
-1492.396472,-288623.3029,2,-1492.396472,-288623.3029,-3818.097825,294.1245494,4.251100985
-1491.167823,-288621.7671,2,-1491.167823,-288621.7671,-3817.925587,294.1245494,4.251100985
-1490.015965,-288619.6938,2,-1490.015965,-288619.6938,-3817.880004,294.1245494,4.251100985
-1489.017687,-288618.0812,2,-1489.017687,-288618.0812,-3817.813491,294.1245494,4.251100985
-1488.326572,-288615.8542,2,-1488.326572,-288615.8542,-3817.984468,294.1245494,4.251100985
-1486.176436,-288613.397,2,-1486.176436,-288613.397,-3817.589174,294.1245494,4.251100985
