X,Y,id,x,y,z,dip_dir,dip_ang,descript
-1641.254986676849967,-288930.849155245756265,2,-1641.254986676849967,-288930.849155245756265,-3818.597442990317631,294.124549416161244,4.251100985300923,thin_bright
-1641.293381960416809,-288928.967786350985989,2,-1641.293381960416809,-288928.967786350985989,-3818.843655874007709,294.124549416161244,4.251100985300923,thin_bright
-1640.986219691883434,-288927.815927843970712,2,-1640.986219691883434,-288927.815927843970712,-3818.806237988541397,294.124549416161244,4.251100985300923,thin_bright
-1640.794243274050132,-288926.356907068460714,2,-1640.794243274050132,-288926.356907068460714,-3818.831669795830749,294.124549416161244,4.251100985300923,thin_bright
-1640.525476289083372,-288925.205048561445437,2,-1640.525476289083372,-288925.205048561445437,-3818.820605820881610,294.124549416161244,4.251100985300923,thin_bright
-1640.295104587683454,-288923.477260800951626,2,-1640.295104587683454,-288923.477260800951626,-3818.861751827390435,294.124549416161244,4.251100985300923,thin_bright
-1640.141523453416767,-288922.555773995351046,2,-1640.141523453416767,-288922.555773995351046,-3818.859268292262641,294.124549416161244,4.251100985300923,thin_bright
-1639.795965901316777,-288921.557496622612234,2,-1639.795965901316777,-288921.557496622612234,-3818.770007632067518,294.124549416161244,4.251100985300923,thin_bright
-1639.565594199916859,-288920.597614533442538,2,-1639.565594199916859,-288920.597614533442538,-3818.720207082429170,294.124549416161244,4.251100985300923,thin_bright
-1639.450408349216787,-288919.829708862118423,2,-1639.450408349216787,-288919.829708862118423,-3818.726680260073863,294.124549416161244,4.251100985300923,thin_bright
-1639.373617782083329,-288918.524269220826682,2,-1639.373617782083329,-288918.524269220826682,-3818.818212519960525,294.124549416161244,4.251100985300923,thin_bright
-1639.220036647816869,-288916.719690893252846,2,-1639.220036647816869,-288916.719690893252846,-3818.915151309022804,294.124549416161244,4.251100985300923,thin_bright
-1638.605712110750119,-288913.801649342174642,2,-1638.605712110750119,-288913.801649342174642,-3818.875104623810785,294.124549416161244,4.251100985300923,thin_bright
-1637.799411155850294,-288912.496209700941108,2,-1637.799411155850294,-288912.496209700941108,-3818.762789968187462,294.124549416161244,4.251100985300923,thin_bright
-1637.261877185917001,-288911.190770059649367,2,-1637.261877185917001,-288911.190770059649367,-3818.778571342019859,294.124549416161244,4.251100985300923,thin_bright
-1637.031505484516856,-288910.038911552692298,2,-1637.031505484516856,-288910.038911552692298,-3818.884606591392640,294.124549416161244,4.251100985300923,thin_bright
-1636.724343215983481,-288908.963843612815253,2,-1636.724343215983481,-288908.963843612815253,-3818.923972254065575,294.124549416161244,4.251100985300923,thin_bright
-1636.301995096750261,-288907.811985105799977,2,-1636.301995096750261,-288907.811985105799977,-3818.912163101765145,294.124549416161244,4.251100985300923,thin_bright
-1635.726065843250353,-288906.583336031646468,2,-1635.726065843250353,-288906.583336031646468,-3818.861051343135387,294.124549416161244,4.251100985300923,thin_bright
-1635.342113007583521,-288905.546663375396747,2,-1635.342113007583521,-288905.546663375396747,-3818.883330417866546,294.124549416161244,4.251100985300923,thin_bright
-1634.804579037650228,-288904.39480486838147,2,-1634.804579037650228,-288904.394804868381470,-3818.892224832748525,294.124549416161244,4.251100985300923,thin_bright
-1634.190254500583706,-288903.319736928504426,2,-1634.190254500583706,-288903.319736928504426,-3818.859274772402841,294.124549416161244,4.251100985300923,thin_bright
-1633.767906381350258,-288902.283064272196498,2,-1633.767906381350258,-288902.283064272196498,-3818.876713849582302,294.124549416161244,4.251100985300923,thin_bright
-1633.422348829250495,-288901.054415198042989,2,-1633.422348829250495,-288901.054415198042989,-3818.931464617010079,294.124549416161244,4.251100985300923,thin_bright
-1632.884814859317203,-288899.979347258165944,2,-1632.884814859317203,-288899.979347258165944,-3818.895742310794049,294.124549416161244,4.251100985300923,thin_bright
-1632.539257307217213,-288898.558721766225062,2,-1632.539257307217213,-288898.558721766225062,-3818.947334168284215,294.124549416161244,4.251100985300923,thin_bright
-1632.07851390441715,-288897.637234960624482,2,-1632.078513904417150,-288897.637234960624482,-3818.889142394398277,294.124549416161244,4.251100985300923,thin_bright
-1631.809746919450617,-288896.754143438593019,2,-1631.809746919450617,-288896.754143438593019,-3818.871087595439803,294.124549416161244,4.251100985300923,thin_bright
-1631.349003516650555,-288895.410308513732161,2,-1631.349003516650555,-288895.410308513732161,-3818.819344563427421,294.124549416161244,4.251100985300923,thin_bright
-1631.003445964550565,-288894.104868872498628,2,-1631.003445964550565,-288894.104868872498628,-3818.855224300749342,294.124549416161244,4.251100985300923,thin_bright
-1630.69628369601719,-288892.722638664068654,2,-1630.696283696017190,-288892.722638664068654,-3818.956289932377331,294.124549416161244,4.251100985300923,thin_bright
-1630.504307278183887,-288891.071641470713075,2,-1630.504307278183887,-288891.071641470713075,-3819.073823641342642,294.124549416161244,4.251100985300923,thin_bright
-1629.92837802468398,-288889.919782963697799,2,-1629.928378024683980,-288889.919782963697799,-3818.991774204632748,294.124549416161244,4.251100985300923,thin_bright
-1629.698006323283835,-288888.921505590958986,2,-1629.698006323283835,-288888.921505590958986,-3819.043172949532163,294.124549416161244,4.251100985300923,thin_bright
-1629.506029905450532,-288887.923228218220174,2,-1629.506029905450532,-288887.923228218220174,-3819.114322432958033,294.124549416161244,4.251100985300923,thin_bright
-1629.160472353350542,-288886.771369711263105,2,-1629.160472353350542,-288886.771369711263105,-3819.166310049553431,294.124549416161244,4.251100985300923,thin_bright
-1628.853310084817394,-288886.080254607019015,2,-1628.853310084817394,-288886.080254607019015,-3819.141069354080628,294.124549416161244,4.251100985300923,thin_bright
-1628.699728950550707,-288885.235558368556667,2,-1628.699728950550707,-288885.235558368556667,-3819.181213200613911,294.124549416161244,4.251100985300923,thin_bright
-1628.392566682017332,-288883.239003623137251,2,-1628.392566682017332,-288883.239003623137251,-3819.231684094911543,294.124549416161244,4.251100985300923,thin_bright
-1628.162194980617414,-288881.971959265414625,2,-1628.162194980617414,-288881.971959265414625,-3819.245216188019640,294.124549416161244,4.251100985300923,thin_bright
-1627.931823279217269,-288880.858496041968465,2,-1627.931823279217269,-288880.858496041968465,-3819.294920828564955,294.124549416161244,4.251100985300923,thin_bright
-1627.816637428517424,-288879.975404519937001,2,-1627.816637428517424,-288879.975404519937001,-3819.368595382756666,294.124549416161244,4.251100985300923,thin_bright
-1627.778242144950582,-288878.977127147198189,2,-1627.778242144950582,-288878.977127147198189,-3819.480108240915797,294.124549416161244,4.251100985300923,thin_bright
-1627.125522324317672,-288875.636737476859707,2,-1627.125522324317672,-288875.636737476859707,-3819.207099345601364,294.124549416161244,4.251100985300923,thin_bright
-1626.357616652984461,-288872.833881776488852,2,-1626.357616652984461,-288872.833881776488852,-3819.458337063541876,294.124549416161244,4.251100985300923,thin_bright
-1626.050454384451086,-288871.490046851686202,2,-1626.050454384451086,-288871.490046851686202,-3819.482864428773155,294.124549416161244,4.251100985300923,thin_bright
-1626.050454384451086,-288869.915840225410648,2,-1626.050454384451086,-288869.915840225410648,-3819.600018491814808,294.124549416161244,4.251100985300923,thin_bright
-1625.666501548784481,-288868.955958136240952,2,-1625.666501548784481,-288868.955958136240952,-3819.332664989226487,294.124549416161244,4.251100985300923,thin_bright
-1625.359339280251106,-288868.303238315624185,2,-1625.359339280251106,-288868.303238315624185,-3819.126298064960338,294.124549416161244,4.251100985300923,thin_bright
-1625.282548713117876,-288867.573727927869186,2,-1625.282548713117876,-288867.573727927869186,-3819.209153783152033,294.124549416161244,4.251100985300923,thin_bright
-1625.167362862417804,-288866.767426972975954,2,-1625.167362862417804,-288866.767426972975954,-3819.276033433426164,294.124549416161244,4.251100985300923,thin_bright
-1625.205758145984419,-288865.730754316668026,2,-1625.205758145984419,-288865.730754316668026,-3819.433836317655732,294.124549416161244,4.251100985300923,thin_bright
-1624.706619459617741,-288865.154825063189492,2,-1624.706619459617741,-288865.154825063189492,-3819.327250490432561,294.124549416161244,4.251100985300923,thin_bright
-1624.322666623951136,-288864.348524108238053,2,-1624.322666623951136,-288864.348524108238053,-3819.292721985546905,294.124549416161244,4.251100985300923,thin_bright
-1624.207480773251064,-288863.311851451988332,2,-1624.207480773251064,-288863.311851451988332,-3819.421888987349575,294.124549416161244,4.251100985300923,thin_bright
-1623.785132654017843,-288862.044807094265707,2,-1623.785132654017843,-288862.044807094265707,-3819.476865346478007,294.124549416161244,4.251100985300923,thin_bright
-1622.786855281284488,-288860.048252348788083,2,-1622.786855281284488,-288860.048252348788083,-3819.360185864178220,294.124549416161244,4.251100985300923,thin_bright
-1622.479693012751341,-288859.04997497604927,2,-1622.479693012751341,-288859.049974976049270,-3819.371535796785338,294.124549416161244,4.251100985300923,thin_bright
-1622.210926027784581,-288858.166883454017807,2,-1622.210926027784581,-288858.166883454017807,-3819.386435456631261,294.124549416161244,4.251100985300923,thin_bright
-1621.289439222184683,-288856.707862678566016,2,-1621.289439222184683,-288856.707862678566016,-3819.229157006018795,294.124549416161244,4.251100985300923,thin_bright
-1620.521533550851245,-288854.941679634503089,2,-1620.521533550851245,-288854.941679634503089,-3819.178906655870833,294.124549416161244,4.251100985300923,thin_bright
-1619.983999580917953,-288852.637962620472535,2,-1619.983999580917953,-288852.637962620472535,-3819.307669229615840,294.124549416161244,4.251100985300923,thin_bright
-1619.292884476717973,-288850.103873905085493,2,-1619.292884476717973,-288850.103873905085493,-3819.329547421534244,294.124549416161244,4.251100985300923,thin_bright
-1617.680282566918095,-288843.960628534434363,2,-1617.680282566918095,-288843.960628534434363,-3819.288140442588883,294.124549416161244,4.251100985300923,thin_bright
-1616.989167462718115,-288841.426539819047321,2,-1616.989167462718115,-288841.426539819047321,-3819.281192156920497,294.124549416161244,4.251100985300923,thin_bright
-1616.528424059918052,-288839.737147342064418,2,-1616.528424059918052,-288839.737147342064418,-3819.299189297882549,294.124549416161244,4.251100985300923,thin_bright
-1615.760518388584842,-288836.895896358182654,2,-1615.760518388584842,-288836.895896358182654,-3819.399962450492694,294.124549416161244,4.251100985300923,thin_bright
-1615.222984418651549,-288834.361807642737404,2,-1615.222984418651549,-288834.361807642737404,-3819.470210400588257,294.124549416161244,4.251100985300923,thin_bright
-1614.915822150118174,-288832.979577434365638,2,-1614.915822150118174,-288832.979577434365638,-3819.503056074681353,294.124549416161244,4.251100985300923,thin_bright
-1613.994335344518277,-288831.059813256026246,2,-1613.994335344518277,-288831.059813256026246,-3819.310399860703001,294.124549416161244,4.251100985300923,thin_bright
-1613.226429673185066,-288829.216839644825086,2,-1613.226429673185066,-288829.216839644825086,-3819.205419635929047,294.124549416161244,4.251100985300923,thin_bright
-1612.304942867584941,-288827.527447167900391,2,-1612.304942867584941,-288827.527447167900391,-3819.063559420945239,294.124549416161244,4.251100985300923,thin_bright
-1611.537037196251731,-288825.684473556699231,2,-1611.537037196251731,-288825.684473556699231,-3818.918678824872586,294.124549416161244,4.251100985300923,thin_bright
-1610.308388122118231,-288820.769877260201611,2,-1610.308388122118231,-288820.769877260201611,-3819.244520821617698,294.124549416161244,4.251100985300923,thin_bright
-1609.617273017918251,-288818.389369679032825,2,-1609.617273017918251,-288818.389369679032825,-3819.445328859167148,294.124549416161244,4.251100985300923,thin_bright
-1608.772576779451583,-288816.623186634969898,2,-1608.772576779451583,-288816.623186634969898,-3819.415840276101790,294.124549416161244,4.251100985300923,thin_bright
